non_westernized	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.22473	0.12569	0.53543	0.43471	0.27647	0.31072	0.21004	0.37098	0.27697	0.18837	0.10204	0.71476	0.16721	0.35818	0.65816	0.10806	6.04886	1.32547	0.14233	0.36559	0.18146	0.07937	0.14542	0.11983	0.16758	0.61428	0.04406	0.11667	0.28574	0.2036	0.04304	0.43886	0.33301	0.58062	0.66339	0.23433	2.22037	10.45927	0.47958	4.77401	0.72041	0.15955	0.76906	0.01155
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.22353	4.75141	0.39248	0.13319	0.77246	0.72775	2.0952	0.57604	0.0086	0.17429	0.83855	0.10505	0.16653	0.13324	1.8649	0.06177	1.30984	0.60985	0.02646	0.68065	0	0.05712	0.1341	0.14298	1.44396	0.42695	0.04968	0.07382	0.61416	0.00573	0.12075	0.0764	0.508	0.10206	0.13862	0.05595	0	0.18369	0.40498	0.18677	0.05448	0	0.03371	0.08861
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.07856	0	0	4.19881	3.67379	0	0	0	0	0	0	0	0	0.27337	0	0	0	0	0	0	0	0	0.7881	0	0	0	0	0	0	1.86872	0	0	0	0	0	0	0	0	0	0	0	11.39885	15.96792	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	8e-04	0	0	0	0.00092	0	0	0	0	0	0.1284	4.27496	0.81251	1.96576	0	0.4001	0	0	0.23393	3.74108	0	0.00328	0.03873	0.22398	0.43834	0.30647	0.05074	2.55338	0	0.07139	0.00177	0	0	0	1.54563	0.04321	0	0	0	0	0.04454	0	0	0.08565
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	50.04169	22.44357	54.15697	47.46126	19.59255	29.71742	0.55032	77.26962	35.88022	36.96479	72.02418	57.09037	71.93521	71.09752	44.18649	27.47028	35.87692	29.37218	85.17727	40.23971	77.61878	46.39685	18.95794	35.63703	49.35537	70.58497	50.91615	54.25349	28.9384	63.21695	23.44487	38.92583	51.19866	44.30811	18.81139	38.03069	39.11975	19.65335	32.42347	28.43911	62.84304	53.44402	62.45681	28.85821
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	41.36967	62.382	38.7041	37.41169	58.64445	44.52292	13.71584	18.96672	60.1234	53.71182	23.11837	35.03614	16.39923	24.04767	29.37063	42.41098	9.03229	57.20129	12.03635	49.88102	12.08856	27.03816	53.39311	58.6096	41.18466	17.30361	39.80214	37.41383	55.71088	23.28205	63.96721	44.43511	34.64213	38.59743	18.40477	49.27098	35.7685	62.46991	38.47209	18.20185	28.45259	26.7822	5.46545	18.36182
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	4.14801	3.15827	3.38501	2.89707	6.17261	5.72857	65.61578	0.75297	0.18567	4.20779	1.17459	0.34925	4.85181	0.1408	13.44475	4.73576	31.38526	9.60683	0.60896	1.67928	1.00909	21.37628	14.37969	2.91589	0.71306	1.37512	7.88289	1.96288	4.28644	7.3417	8.8986	5.38306	0.22602	5.5408	21.50862	1.27263	1.57736	4.20126	5.99326	21.47552	1.15147	6.1273	1.19577	1.26273
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2.27616	1.47431	0.90758	1.19588	3.09281	1.3397	0.39876	0.96179	0.71331	0.53444	0.40747	0.56293	2.59238	1.88002	1.26549	0.45989	0	0.50678	0.45371	1.19884	6.37909	1.62675	0.87332	0	5.28016	0.01504	0.50078	0.05288	2.76712	2.05672	0.00106	1.30662	9.61546	1.74927	2.64544	3.39778	0.02374	0.59612	7.63044	4.11134	1.92575	0.58104	10.91305	0.26807
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	1.03608	0.63027	1.36557	0.48786	2.18587	3.24765	0.0067	0.02914	0.19074	1.56483	1.0935	0.02021	0.5773	0.01699	2.16104	0.31884	6.6407	0.08048	0.00336	0.34549	0.27007	0.5539	3.65185	0.49348	0.4051	0.15867	0.20551	0.78558	0.71697	0.09334	1.12127	2.57014	0.25282	2.26053	8.78714	3.63027	7.33724	0.0887	0.56467	6.24422	1.17375	0.03971	0.0105	0.64695
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.31921	0.00322	0.38523	0.81378	2.24331	6.94821	3.32083	0.18518	0.0217	1.20466	0.30202	0.07663	1.65547	0.04479	1.0836	0.2335	8.88423	0.07217	0.78496	1.31329	2.19432	1.86216	7.61337	0.52904	0.54932	0.48842	0.06649	0.82338	3.93232	0	1.90367	6.70291	0.33213	6.75246	4.64562	0.29121	2.99229	0.92629	5.62569	13.39132	3.05358	0.26903	0.06827	0.22455
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.28156	0.33106	0.06584	0.09421	1.23074	7.14218	13.58328	0.78772	2.50636	0.81186	0.70284	0.69426	0.68579	0	3.16923	15.05834	0.63598	0.68773	0.41332	0.36139	0.13962	0.97439	0.01262	1.04407	0.14701	1.86646	0.35457	1.7522	2.35768	1.50957	0.30424	0.0723	0.67029	0.07192	22.70183	1.36807	10.94722	1.33436	8.30612	3.08224	0.57183	0.35028	1.72726	4.73383
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.21439	0.07865	0.41548	0.39221	0.21388	0.29146	0.08913	0.29528	0.22885	0.15688	0.06686	0.40687	0.12829	0.16704	0.56169	0.03278	0.21001	0.38694	0.08131	0.24328	0.13557	0.07671	0.07564	0.07822	0.12294	0.04773	0.02802	0.07667	0.26094	0.14962	0.00535	0.12556	0.25414	0.21417	0.08973	0.21006	1.24921	0.66744	0.34962	0.98353	0.42101	0.15955	0.63211	0.01142
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.20323	4.75141	0.17378	0.11648	0.77246	0.72775	2.0952	0.57604	0.0086	0.15664	0.83855	0.10505	0.16653	0.13324	1.8649	0.06177	1.16857	0.60985	0.02646	0.68065	0	0.05712	0.00865	0.14298	1.44396	0.42695	0.04968	0.0711	0.61416	0.00573	0.10145	0	0.508	0	0.10815	0.05595	0	0.18369	0.40498	0.18677	0.05448	0	0.03371	0.08861
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.07856	0	0	4.19881	3.67379	0	0	0	0	0	0	0	0	0.27337	0	0	0	0	0	0	0	0	0.7881	0	0	0	0	0	0	1.86872	0	0	0	0	0	0	0	0	0	0	0	11.39885	15.96792	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.0203	0	0.2187	0.01671	0	0	0	0	0	0.01765	0	0	0	0	0	0	0.14127	0	0	0	0	0	0.12545	0	0	0	0	0.00272	0	0	0.0193	0.0764	0	0.10206	0.03047	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.01034	0.04705	0.11994	0.04251	0.06259	0.01926	0.02631	0.07234	0.04812	0.03149	0.03518	0.06556	0.03892	0.01191	0.09647	0.06078	0.09569	0.07117	0.06102	0.12231	0.04589	0.00267	0.06978	0.03915	0.04463	0.01065	0.00063	0.04	0.01779	0.05397	0.03768	0.31329	0.07543	0.36383	0.20533	0.02427	0.03981	0.01035	0.01186	0.01897	0.11648	0	0.00316	0.00013
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	8e-04	0	0	0	0.00092	0	0	0	0	0	0.1284	4.27496	0.81251	1.96576	0	0.4001	0	0	0.23393	3.74108	0	0.00328	0.03873	0.22398	0.43834	0.30647	0.05074	2.55338	0	0.07139	0.00177	0	0	0	1.54563	0.04321	0	0	0	0	0.04454	0	0	0.08565
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	41.08738	54.53769	38.24745	35.74617	58.40797	43.9684	0.61296	16.89233	58.07625	49.79904	1.01266	3.20502	9.069	0.96047	28.77215	0.00157	3.27148	51.72223	8.79267	41.19456	11.75491	23.50227	51.48988	50.75969	8.8857	0.00018	35.8719	23.91095	55.63463	23.1049	3.4834	42.76129	15.31619	36.9489	10.90832	46.05258	13.70414	7.89567	1.01636	14.60668	24.79831	26.4819	1.78871	0.2188
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	25.43185	6.57406	24.15751	5.68132	5.87567	12.02445	0.0961	49.75544	4.70971	12.26781	24.5237	12.91062	6.50584	23.54206	5.41664	13.80551	17.09734	4.89838	20.63554	16.10272	45.93049	9.63156	2.10446	2.26661	11.34321	12.74305	7.63297	3.68218	2.88926	27.36091	4.95379	6.59645	20.36349	7.5019	8.96924	18.21705	23.01295	4.89409	7.14769	5.52419	20.0922	10.14699	8.4596	1.31611
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	12.27991	3.18337	17.67308	16.94334	3.47501	6.37838	0.01624	3.56521	5.15531	10.57564	4.63639	8.69724	3.08689	5.65963	4.56773	0	8.16107	4.23959	25.68483	9.69128	4.59845	5.76649	2.30796	3.92068	25.27275	35.00644	3.98653	32.62444	5.25268	5.98466	15.0714	20.45986	13.8447	18.80406	1.17651	3.97152	15.41628	8.36345	14.4977	13.71525	34.86362	25.57262	15.52916	23.83693
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	8.615	10.35483	12.30511	24.76766	8.71168	11.12299	0.41711	22.96723	25.08072	13.86139	42.52081	34.23923	62.20723	41.25244	24.88983	7.53893	10.54295	20.10161	37.34293	13.57943	26.60548	30.46401	14.48328	29.1996	12.68626	20.92082	39.22179	17.90003	9.13201	28.74135	3.39592	11.84929	16.89529	17.98558	8.50051	15.29164	0	6.30027	10.59188	8.68551	7.12978	17.41666	36.45104	3.57232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	3.70883	0	0	0	0	0.01105	0	0.79043	0.91188	0	0	0	0	0	0	0.11906	0	0	0	0	0	0	0	0	0	1.89579	0	0.00613	0	0.9806	0	0.02024	0	0.01656	0	0.05368	0.1557	0	0	0	0.00447	0	0	0
