	C16-20002-TZ	C16-20003-TZ	C16-20005-TZ	C16-20070-TZ	C16-20071-TZ	C16-20072-TZ	C16-20073-TZ	C16-20117-TZ	C16-20118-TZ	C16-20119-TZ	C16-20123-TZ	C16-20135-TZ	C16-20152-TZ	C16-20153-TZ	C16-20197-TZ	C16-20198-TZ	C16-20211-TZ	C16-20212-TZ	C16-20215-TZ	C16-20237-TZ	C16-20238-TZ	C16-20246-TZ	C16-20247-TZ	C16-20248-TZ	C16-20340-TZ	C16-20341-TZ	C16-20345-TZ	C16-20346-TZ	C16-20347-TZ	C16-20371-TZ	C16-20372-TZ	C16-20373-TZ	C16-20374-TZ	C16-20415-TZ	C16-20416-TZ	C16-20417-TZ	C16-20437-TZ	C16-20438-TZ	C16-20439-TZ	C16-20440-TZ	C16-20441-TZ	C16-20470-TZ	C16-20471-TZ	C16-20473-TZ	C16-20474-TZ	C16-20475-TZ	C16-20491-TZ	C16-20492-TZ	C16-20493-TZ	C16-20494-TZ	C16-20548-TZ	C16-20549-TZ	C16-20550-TZ	C16-20551-TZ	C16-20554-TZ	C16-20557-TZ	C16-20558-TZ	C16-20625-TZ	C16-20626-TZ	C16-20627-TZ	C16-20645-TZ	C16-20646-TZ	C16-20647-TZ	C16-20648-TZ	C16-20649-TZ	C16-20650-TZ	C16-20651-TZ	C16-20652-TZ
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium|s__Cetobacterium_somerae	0	0	0	0.12497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.04534	0	0	0	0.05297	0	0	0	0	0	1.20409	0	0.21631	0	0	0	0	0	0	0	0.05584	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0	0	0	0.05805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	0	0	0	0.00424	0.02406	0	0	0.00431	0	0.02614	0.01594	0.00311	0	0.06898	0	0	0.0048	0.07074	0	0.00096	0.00409	0	0.00497	0.00168	0.00141	0.00974	0	0	0	0	0	0.00439	0	0	0	0	0.0202	0.08143	4e-04	0.01861	0	0	0	0	0.03	0.00375	0	0.0754	0	0	0.00054	0	0.00351	0.00358	0.07631	0	0	0	0	0.04017	0	0.00158	0	0	0	0.0049	0.06742	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis|t__Sutterella_wadsworthensis_unclassified	0	0	0	3.05167	0	0	0	0	0	0	0	0	0	0.86642	0	0.13965	0.00802	0	0	0	0	0	0.19233	0	0	0.03723	0	0.25211	0	0	0.00825	0.23798	0	0	0	1.32471	0	0	0	0	0	0	0	0	0.59531	2.82087	0	0	0	0	0	0	0	0.01075	0	0	0.14699	0.04279	0	1.68212	0	0	0	0	0	0	0.42317	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA|t__GCF_000218465	0	0	0	0.15721	0	0	0	0	0.00074	0	0	0	0	0.10879	0	0	0.00241	0	0	0	0	0	0	0	0	0.00053	0	0.00447	0	0	0	0	0	0	0.00784	0	0	0.0066	0	0.00323	0	0	0	0.01769	0	0	0	0.38321	0	0	0	0	0	0	0	0.02316	0	0.00058	0	0.01662	0	0.00118	0	0	0.00082	0	0.0021	0.00414
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium|s__Cetobacterium_somerae|t__GCF_000479045	0	0	0	0.12497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.04534	0	0	0	0.05297	0	0	0	0	0	1.20409	0	0.21631	0	0	0	0	0	0	0	0.05584	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__Bifidobacterium_dentium_unclassified	0	0	0	0.05805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia|t__GCF_000185705	0	0	0	0.00424	0.02406	0	0	0.00431	0	0.02614	0.01594	0.00311	0	0.06898	0	0	0.0048	0.07074	0	0.00096	0.00409	0	0.00497	0.00168	0.00141	0.00974	0	0	0	0	0	0.00439	0	0	0	0	0.0202	0.08143	4e-04	0.01861	0	0	0	0	0.03	0.00375	0	0.0754	0	0	0.00054	0	0.00351	0.00358	0.07631	0	0	0	0	0.04017	0	0.00158	0	0	0	0.0049	0.06742	0
k__Bacteria|p__Spirochaetes	0	0	0	0	21.15645	0	0.0079	0	0	0	0	0	0	0	0	0	0	1.35525	2.75589	2.51391	0.16582	0	3.6473	0	0	0	0	0	0	0.03226	0	0.01	0	0	0	0	0	3.62508	16.32765	6.12188	4.34587	0	0	0	0	0	0	0	0	0	0.10002	1.33077	12.30639	15.39958	0	0	0	0	0	0	2.11121	3.40569	34.95192	9.67869	12.64146	7.57548	0	0.12016
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0	0	0	0	21.15645	0	0.0079	0	0	0	0	0	0	0	0	0	0	1.35525	2.75589	2.51391	0.16582	0	3.6473	0	0	0	0	0	0	0.03226	0	0.01	0	0	0	0	0	3.62508	16.32765	6.12188	4.34587	0	0	0	0	0	0	0	0	0	0.10002	1.33077	12.30639	15.39958	0	0	0	0	0	0	2.11121	3.40569	34.95192	9.67869	12.64146	7.57548	0	0.12016
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0	0	0	0	21.15645	0	0.0079	0	0	0	0	0	0	0	0	0	0	1.35525	2.75589	2.51391	0.16582	0	3.6473	0	0	0	0	0	0	0.03226	0	0.01	0	0	0	0	0	3.62508	16.32765	6.12188	4.34587	0	0	0	0	0	0	0	0	0	0.10002	1.33077	12.30639	15.39958	0	0	0	0	0	0	2.11121	3.40569	34.95192	9.67869	12.64146	7.57548	0	0.12016
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	0	0	0	0	21.15645	0	0	0	0	0	0	0	0	0	0	0	0	1.35525	2.7333	2.46945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62508	2.58545	6.12188	4.1939	0	0	0	0	0	0	0	0	0	0.03172	1.2524	0.47596	15.39958	0	0	0	0	0	0	2.09221	2.22121	33.94067	9.66362	12.59519	7.5414	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema	0	0	0	0	21.15645	0	0	0	0	0	0	0	0	0	0	0	0	1.35525	2.7333	2.46945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62508	2.58545	6.12188	4.1939	0	0	0	0	0	0	0	0	0	0.03172	1.2524	0.47596	15.39958	0	0	0	0	0	0	2.09221	2.22121	33.94067	9.66362	12.59519	7.5414	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0	0	0	0	0.04636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_succinifaciens	0	0	0	0	21.15645	0	0	0	0	0	0	0	0	0	0	0	0	1.35525	2.7333	2.46945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62508	2.58545	6.12188	4.1939	0	0	0	0	0	0	0	0	0	0.03172	1.2524	0.47596	15.39958	0	0	0	0	0	0	2.09221	2.22121	33.94067	9.66362	12.59519	7.5414	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_unclassified	0	0	0	0	0.04636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_succinifaciens|t__GCF_000195275	0	0	0	0	21.15645	0	0	0	0	0	0	0	0	0	0	0	0	1.35525	2.7333	2.46945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62508	2.58545	6.12188	4.1939	0	0	0	0	0	0	0	0	0	0.03172	1.2524	0.47596	15.39958	0	0	0	0	0	0	2.09221	2.22121	33.94067	9.66362	12.59519	7.5414	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	0	0	0	0	0	0.23668	0	0	0	0.08372	0.49247	1.35108	0	0.09124	0	0	0	0	0	0	0	0.14276	0	0	0.18211	0.43919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03459	0	0	0	0	0	0	0.04137	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0	0	0	0	0	0.01952	0	0	0	0.22684	0.24881	3.04796	0.81547	0	0	0.96931	0.00578	0	0	0	0	0.0585	0	1.81719	16.97662	0.00378	0	0.00542	0.00596	0	0	0	0.00397	0	0	0	0	0	0	0	0	0	0.28802	0	0	0	0	0	0	0.02211	0	0	0	0	0	0	0	0	0	0.07187	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus|t__GCF_000195615	0	0	0	0	0	0.23668	0	0	0	0.08372	0.49247	1.35108	0	0.09124	0	0	0	0	0	0	0	0.14276	0	0	0.18211	0.43919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03459	0	0	0	0	0	0	0.04137	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis|t__GCF_000172175	0	0	0	0	0	0.01952	0	0	0	0.22684	0.24881	3.04796	0.81547	0	0	0.96931	0.00578	0	0	0	0	0.0585	0	1.81719	16.97662	0.00378	0	0.00542	0.00596	0	0	0	0.00397	0	0	0	0	0	0	0	0	0	0.28802	0	0	0	0	0	0	0.02211	0	0	0	0	0	0	0	0	0	0.07187	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae	0	0	0	0	0	0	0.0079	0	0	0	0	0	0	0	0	0	0	0	0.02259	0.04446	0.16582	0	3.6473	0	0	0	0	0	0	0.03226	0	0.01	0	0	0	0	0	0	13.7422	0	0.15197	0	0	0	0	0	0	0	0	0	0.0683	0.07837	11.83043	0	0	0	0	0	0	0	0.019	1.18448	1.01124	0.01507	0.04627	0.03408	0	0.12016
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira	0	0	0	0	0	0	0.0079	0	0	0	0	0	0	0	0	0	0	0	0.02259	0.04446	0.16582	0	3.6473	0	0	0	0	0	0	0.03226	0	0.01	0	0	0	0	0	0	13.7422	0	0.15197	0	0	0	0	0	0	0	0	0	0.0683	0.07837	11.83043	0	0	0	0	0	0	0	0.019	1.18448	1.01124	0.01507	0.04627	0.03408	0	0.12016
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	0	0	0	0	0	0	0.00118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00588	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_unclassified	0	0	0	0	0	0	0.0079	0	0	0	0	0	0	0	0	0	0	0	0.02259	0.03718	0.08479	0	0.11935	0	0	0	0	0	0	0.03226	0	0.00725	0	0	0	0	0	0	0.35651	0	0.06649	0	0	0	0	0	0	0	0	0	0.05493	0.0607	6.35852	0	0	0	0	0	0	0	0.019	0	0.02987	0.01507	0.04627	0.03408	0	0.12016
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	0	0	0	0	0	0	0.00118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00588	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis|t__Gardnerella_vaginalis_unclassified	0	0	0	0	0	0	0.00118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00588	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia	0	0	0	0	0	0	0	0.00487	0	0	11.43445	0.01703	7.64045	0	0	2.0694	0.72062	0.08683	0	0	0	0	0.00501	0	2.66984	0	0	0	0	0	0	0	0	0	0	0	2.99717	0	0.22563	0	0	0.02945	0	0	0	0.02879	0	0	0	0	0	0	0	0	27.28773	0	0	0	0	0.40684	0.00726	0.00251	0.04531	0.5372	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	0	0	0	0	0	0	0.00487	0	0	11.43445	0.01703	7.64045	0	0	2.0694	0.72062	0.08683	0	0	0	0	0.00501	0	2.66984	0	0	0	0	0	0	0	0	0	0	0	2.99717	0	0.22563	0	0	0.02945	0	0	0	0.02879	0	0	0	0	0	0	0	0	27.28773	0	0	0	0	0.40684	0.00726	0.00251	0.04531	0.5372	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0	0	0	0	0	0	0	0.00487	0	0	11.43445	0.01703	7.64045	0	0	2.0694	0.72062	0.08683	0	0	0	0	0.00501	0	2.66984	0	0	0	0	0	0	0	0	0	0	0	2.99717	0	0.22563	0	0	0.02945	0	0	0	0.02879	0	0	0	0	0	0	0	0	27.28773	0	0	0	0	0.40684	0.00726	0.00251	0.04531	0.5372	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0	0	0	0	0	0	0	0.00487	0	0	11.43445	0.01703	7.64045	0	0	2.0694	0.72062	0.08683	0	0	0	0	0.00501	0	2.66984	0	0	0	0	0	0	0	0	0	0	0	2.99717	0	0.22563	0	0	0.02945	0	0	0	0.02879	0	0	0	0	0	0	0	0	27.28773	0	0	0	0	0.40684	0.00726	0.00251	0.04531	0.5372	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0	0	0	0	0	0	0	0.00928	0	0.00707	0	0	0	0	0	0	0	0	0	0	0.02346	0	0	0	0.01288	0	0.03394	0	0.12515	0.0327	0	0.02622	0.09078	0	0	0	0.02864	0	0	0	0	0	0	0.00808	0.01377	0	0	0	0	0.02726	0	0	0	0	0.00624	0.02495	0	0	0	0.07776	0.01627	0.03702	0	0	0	0	0.27576	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	0	0	0	0	0	0	0	0.00487	0	0	11.43445	0.01703	7.64045	0	0	2.0694	0.72062	0.08683	0	0	0	0	0.00501	0	2.66984	0	0	0	0	0	0	0	0	0	0	0	2.99717	0	0.22563	0	0	0.02945	0	0	0	0.02879	0	0	0	0	0	0	0	0	27.28773	0	0	0	0	0.40684	0.00726	0.00251	0.04531	0.5372	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	0	0	0	0	0	0	0	0.29091	0	1.29997	0.2337	0.51845	0	0.21186	0	0	0	0	0	0	0	0.02853	0	0.50512	0.0456	0.02177	0	0.00422	1.12425	0	0	0	0	0	0	0	0	0	0	0	0	0.01885	0.352	0	0	0	0	1.69464	0	0	0	0	0	0	0.14067	0.02327	0	0	0	0.86457	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified	0	0	0	0	0	0	0	0.00928	0	0.00408	0	0	0	0	0	0	0	0	0	0	0.02346	0	0	0	0.00435	0	0.03321	0	0	0.0327	0	0.02622	0.09078	0	0	0	0.02864	0	0	0	0	0	0	0.00808	0.01377	0	0	0	0	0.02726	0	0	0	0	0.00395	0	0	0	0	0	0.01627	0.03702	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0.00487	0	0	11.43445	0.01703	7.64045	0	0	2.0694	0.72062	0.08683	0	0	0	0	0.00501	0	2.66984	0	0	0	0	0	0	0	0	0	0	0	2.99717	0	0.22563	0	0	0.02945	0	0	0	0.02879	0	0	0	0	0	0	0	0	27.28773	0	0	0	0	0.40684	0.00726	0.00251	0.04531	0.5372	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii|t__Parabacteroides_goldsteinii_unclassified	0	0	0	0	0	0	0	0.29091	0	1.29997	0.2337	0.51845	0	0.21186	0	0	0	0	0	0	0	0.02853	0	0.50512	0.0456	0.02177	0	0.00422	1.12425	0	0	0	0	0	0	0	0	0	0	0	0	0.01885	0.352	0	0	0	0	1.69464	0	0	0	0	0	0	0.14067	0.02327	0	0	0	0.86457	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225	0	0	0	0	0	0	0	0.00487	0	0	11.43445	0.01703	7.64045	0	0	2.0694	0.72062	0.08683	0	0	0	0	0.00501	0	2.66984	0	0	0	0	0	0	0	0	0	0	0	2.99717	0	0.22563	0	0	0.02945	0	0	0	0.02879	0	0	0	0	0	0	0	0	27.28773	0	0	0	0	0.40684	0.00726	0.00251	0.04531	0.5372	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0	0	0	0	0	0	0	0	0.00118	0	0	0	0	0	0	0	0	0	0	0	0.00744	0	0	0	0	0	0	0	0.00048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056	0.01643	0	0	0	0	0	0	0	0.00474	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	0	0	0	0	0	0	0	0	0.00393	0	0	0	0	0	0	0	0	0	0	0	0.04007	0	0	0	0	0.00471	0.03488	0.02587	0.02192	0	0	0.02247	0	0	0	0	0	0	0	0	0.05366	0	0.01276	0	0	0.02086	0	0	0.14754	0	0	0	0	0.09882	0	0	0	0	0.23146	0.04735	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	0	0	0	0	0	0	0	0	0.00118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	0	0	0	0	0	0	0	0	0.00393	0	0	0	0	0	0	0	0	0	0	0	0.04007	0	0	0	0	0.00471	0.02877	0	0.01947	0	0	0.01233	0	0	0	0	0	0	0	0	0.03253	0	0.01276	0	0	0	0	0	0.03898	0	0	0	0	0.00621	0	0	0	0	0.23146	0.04735	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus	0	0	0	0	0	0	0	0	0.00118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria	0	0	0	0	0	0	0	0	0.00393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02827	0	0	0	0	0	0	0	0	0	0	0.00491	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola	0	0	0	0	0	0	0	0	0.00187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cereus_thuringiensis	0	0	0	0	0	0	0	0	0.00118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria|t__GCF_000193635	0	0	0	0	0	0	0	0	0.00393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02827	0	0	0	0	0	0	0	0	0	0	0.00491	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola|t__GCF_000025465	0	0	0	0	0	0	0	0	0.00187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cereus_thuringiensis|t__Bacillus_cereus_thuringiensis_unclassified	0	0	0	0	0	0	0	0	0.00118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0	0	0	0	0	0	0	0	0	0.00223	0.00392	0	0.00837	0.01271	0	0	0	0	0	0	0	0.04484	0	0	0	0	0.00348	0	0.05372	0	0	0.00974	0	0	0	0	0	0	0	0	0	0	0	0.09507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname	0	0	0	0	0	0	0	0	0	0.03916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91901	0	0	20.98707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	0	0	0	0	0	0	0	0	0	0.00316	0	0.00159	0	0	0.00873	0	0	0	0	0	0	0	0	0.05136	0.07825	0.01012	0.10078	0	0.00345	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07179	0.02945	0.00637	0	0	0.26588	0	0	0	0	0	0	0.28224	0.49297	0	0	0	0.01726	0	0	0	0	0	0	0.04034	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	0	0	0	0	0	0	0	0	0	0.00223	0.00392	0	0.00837	0.01271	0	0	0	0	0	0	0	0.04484	0	0	0	0	0.00348	0	0.05372	0	0	0.00974	0	0	0	0	0	0	0	0	0	0	0	0.09507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas	0	0	0	0	0	0	0	0	0	0.00196	0.00097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	0	0	0	0	0	0	0	0	0	0.42868	0.26285	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22742	0.32094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05226	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20288	0	0	0	0	0	0	0	0	0	0	0
